FLORACODE,KEY,SOURCE,SURVEYNAME,SIGHTINGDATE,DATEACCURACY,OBSERVER,NUMOBSERVED,MUSEUMHERBMNR,RELIABDESC,AMGZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPRELIABCODE,NSXCODE,SPECIES,FAMILYNAME,COMNAME1,SIGHTINGCOMM,HABITATCOMM,LOCATIONCOMM,RESERVENAME,ISINDIGENOUSFLAG
OPP632749-1,OPP632749-1,OP,LOFTY BLOCK EPBC THREATENED ORCHIDS,1/8/13,M,QUARMBY J. Joe,666,,5-50m,54,271480,6137094,-34.88286,138.49955,Y,Y04404,Pterostylis arenicola,ORCHIDACEAE,Sandhill Greenhood,Total = 666 Flowers = 331 Vegetative = 335.,,Grange Golf Course,,Y
SUP12242-4,SUP12242-4,SU,MT BROWN (NCSSA),23/10/94,D,BEN KAHN A. Ali | SMITH F.M. Felicity,present but not counted,,51-100m,54,219722,6406079,-32.44562,138.02005,Y,M00146,Austrostipa nodosa,GRAMINEAE,Tall Spear-grass,,,Near park fence line.,Mount Brown (CP),Y
RVPO40701-175595,RVPO40701-175595,RV,,10/3/01,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,501-1000m,53,559455,6333280,-33.13757589,135.6374451,P,C15065,Gramineae sp.,GRAMINEAE,Grass Family,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus oleosa Mallee,Eyre Highway HWY 3.6 km ENE of Cayancutta (summit),,Y
RVPO33838-148656,RVPO33838-148656,RV,,25/10/00,D,MILNE S.J. Stephen | TELFER S. Sarah,present but not counted,,501-1000m,53,613708,6282409,-33.59198738,136.2254373,P,E02238,Eucalyptus gracilis,MYRTACEAE,Yorrell,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus incrassata / E. socialis +/- E. gracilis +/- E. leptophylla Mallee,Cummins-Buckleboo RAIL 0.6 km SSE of Kielpa,,Y
RVPO46878-201461,RVPO46878-201461,RV,,13/11/01,D,CLARK P.D. Peter,present but not counted,,501-1000m,54,279760,6226364,-34.08034032,138.6131144,P,K20009,Agave americana var. (NC),AGAVACEAE,Century Plant,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic Grassland,Wandels (101) RD 1.1 km ESE of Sheoak Hill (summit),,N
OPP800651-36,OPP800651-36,OP,BDBSA RESERVES DATABASE,1/9/99,M,MURFET D.E. Denzel | TAPLIN R.L. Rosemary,present but not counted,,1-10km,53,412319,6409118,-32.45165,134.06714,Y,G02643,Westringia dampieri,LABIATAE,Shore Westringia,,,,Acraman Creek (CP),Y
SUP8057-16,SUP8057-16,SU,FLINDERS MANAGEMENT REVIEW,29/8/91,D,NOT ENTERED - SEE ORIGINAL DATA  -,present but not counted,,,54,293923,6578379,-30.91001,138.84362,Y,G02563,Omphalolappula concava,BORAGINACEAE,Burr Stickseed,,,1km SE from Ben Lomond.,,Y
SUP10624-3,SUP10624-3,SU,FLINDERS MANAGEMENT REVIEW,6/4/88,D,BELLETTE K.J. Kathryn | GOULD P. Paul,present but not counted,,,54,293523,6624679,-30.49244,138.84873,Y,E01154,Atriplex stipitata,CHENOPODIACEAE,Bitter Saltbush,,,,,Y
RVPO88460-399533,RVPO88460-399533,RV,,8/5/08,D,O'NEILL S. Sally | FRAZER D.S. Deb,present but not counted,,1-10km,54,334757,6208794,-34.24886076,139.2054988,P,K03913,Avena barbata,GRAMINEAE,Bearded Oat,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus porosa +/-E. dumosa +/-E. odorata +/-E. oleosa  +/-Acacia pycnantha +/-Alectryon oleifolius +/-Callitris gracilis Mallee,Frankton RD 3 km ESE of Neales Flat,,N
OPP65649-1483116-AD99934275,OPP65649-1483116-AD99934275,OP,ANANGU PITJANTJATJARA LANDS,24/10/98,D,CANTY P.D. Peter | LANG P.J. Peter | BRANDLE R. Robert,present but not counted,AD99934275,51-100m,52,747084,7097866,-26.21756,131.47303,Y,S02269,Eucalyptus sparsa,MYRTACEAE,Northern Ranges Box,,Cyperus sedgeland with a few Red gums,Rock ridge summit 1288,,Y
OPP477076-1,OPP477076-1,OP,KANGAROO ISLAND WEEDS REGISTER,23/9/05,D,KANGAROO ISLAND - DEWNR K.I. DEWNR,present but not counted,,5-50m,53,732936,6030708,-35.84017,137.57904,Y,E04578,Asparagus declinatus,LILIACEAE,,,,,,N
OPP329121-1505298,OPP329121-1505298,OP,MLR GRID WEED SURVEYS (NPWSA),6/1/00,D,MITCHELL F. Fay,present but not counted,,101-250m,54,300122,6160978,-34.67368,138.81841,Y,K04985,Hibbertia australis (NC),DILLENIACEAE,Stalked Guinea-flower,BRAUN_BLANQUET_DENSITY = 3,,185,Para Wirra (CP),Y
OPP798096-35,OPP798096-35,OP,BDBSA RESERVES DATABASE,1/1/70,T,NCS-(SA)  Nature Conservation Socie | LEHMANN P. N/A,present but not counted,,1-10km,54,362701,6196430,-34.36439,139.5069,Y,Q01504,Enchylaena tomentosa var. tomentosa,CHENOPODIACEAE,Ruby Saltbush,,,,Brookfield (CP),Y
SUP12419-11,SUP12419-11,SU,STONY DESERTS,4/11/94,D,CANTY P.D. Peter | MORELLI J. Josie,present but not counted,,5-50m,54,469573,7059095,-26.58859,140.69443,Y,U20070,Enchylaena tomentosa var.,CHENOPODIACEAE,Ruby Saltbush,,,4 km SSW from Mt Gow.,,Y
RVPO68163-298316,RVPO68163-298316,RV,,22/9/03,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,5-50m,54,280877,6121177,-35.02833995,138.5981104,P,S20125,Olea europaea ssp.,OLEACEAE,Olive,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus microcarpa Woodland,Colebrook Drive DR 0.8 km SSE of Eden Hills (suburb centre),,N
OPP526584-49,OPP526584-49,OP,EBS ECOLOGY - FLORA & FAUNA SURVEY SA,18/5/12,D,KENNY S.D. Sue | KELMAN R.J. Rob,present but not counted,,0-5m,53,485976,6554150,-31.14652,134.85287,Y,A01508,Pittosporum angustifolium,PITTOSPORACEAE,Native Apricot,,,,,Y
SUP1469-14,SUP1469-14,SU,MOUNT LOFTY RANGES (DEP 1981),30/5/79,D,NOT ENTERED - SEE ORIGINAL DATA  -,present but not counted,,,54,294622,6127878,-34.97085,138.75032,Y,M02418,Epacris impressa,EPACRIDACEAE,Common Heath,,,,54 (HA),Y
SUP20898-124898,SUP20898-124898,SU,STRZELECKI  (B. SPARROW),18/11/02,D,SPARROW B. Ben | LEITCH E.J. Emrys,present but not counted,,5-50m,54,309408,6859164,-28.38,139.0549,Y,W03115,Tecticornia pluriflora,CHENOPODIACEAE,,,,,,Y
RVPO3106-9747,RVPO3106-9747,RV,,19/12/97,D,PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha,present but not counted,,101-250m,54,322881,6146224,-34.81084842,139.0635821,P,K03913,Avena barbata,GRAMINEAE,Bearded Oat,Collected using the DEWNR Roadside Vegetation Survey Methodology,Mixed grassland dominated by alien grass species,Buckleys RD 1.4 km NNW of Tungkillo,,N
SUP6825-9,SUP6825-9,SU,MT LOFTY,15/5/86,D,DAVIES R.J-P. Richard,present but not counted,,,54,285662,6113828,-35.09558,138.64862,Y,G01747,Pultenaea acerosa,LEGUMINOSAE,Bristly Bush-pea,,,,,Y
OPP37232-1782129,OPP37232-1782129,OP,SANDY DESERT,1/8/06,D,MCDONALD J.T. John,present but not counted,,5-50m,53,686870,6933355,-27.71117,136.89535,Y,E01250,Sclerolaena lanicuspis,CHENOPODIACEAE,Spinach Bindyi,Floodplain on firm sandy clays.,Acacia victoriae Open Shrubland - much of mature plants are dead.,,,Y
RVPU38781-41902,RVPU38781-41902,RV,,14/11/00,D,TELFER W.R. Wendy,present but not counted,,501-1000m,54,255787,6326526,-33.17257022,138.3809965,P,S02833,Scabiosa atropurpurea,DIPSACACEAE,Pincushion,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus sp. Plantation,Laura - Caltowie RD 2.4 km SSW of Caltowie West,,N
OPP329210-1506716,OPP329210-1506716,OP,MLR GRID WEED SURVEYS (NPWSA),9/2/00,D,MITCHELL F. Fay,present but not counted,,101-250m,54,300422,6156978,-34.70978,138.82074,Y,S20125,Olea europaea ssp.,OLEACEAE,Olive,removed 1999   BRAUN_BLANQUET_DENSITY = 3,,612,Para Wirra (CP),N
SUP10424-28,SUP10424-28,SU,FLINDERS MANAGEMENT REVIEW,19/4/88,D,GREENWOOD G. Graeme | PITTS B. Brenda,present but not counted,,,54,353923,6650428,-30.26902,139.4814,Y,C15285,Solanum lithophilum/quadriloculatum,SOLANACEAE,,,,,,Y
SUP12470-22,SUP12470-22,SU,STONY DESERTS,6/5/95,D,VONOW H.P. Helen | O'CONNOR P.J. Patrick,present but not counted,,5-50m,54,384730,7037040,-26.7833,139.84044,Y,C01153,Atriplex spongiosa,CHENOPODIACEAE,Pop Saltbush,,,9.5 km SW from Dickinna Hill.,,Y
RVPU62797-79167,RVPU62797-79167,RV,,17/10/02,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,101-250m,54,397534,6231174,-34.05514448,139.8897381,P,M01898,Zygophyllum eremaeum (NC),ZYGOPHYLLACEAE,Pale-flower Twinleaf,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus oleosa / E. brachycalyx Mallee,Burra - Renmark RD 2.1 km NNW of Riversleigh (homestead),,Y
OPP178466-1511766,OPP178466-1511766,OP,WAITE CONSERVATION RESERVE,23/4/03,D,LANG P.J. Peter,present but not counted,,0-5m,54,284503,6126678,-34.97956,138.63925,Y,K02249,Eucalyptus microcarpa,MYRTACEAE,Grey Box,,Eucalyptus microcarpa Woodland over Avena barbata and Olea europaea.,Waite Hills Conservation Reserve. Heritage Agreement area HA 1262. Southern area c. 5 m below (NW of) vehicle track from southern boundary to Koala Gully.,1262 (HA),Y
OPP799570-20,OPP799570-20,OP,BDBSA RESERVES DATABASE,15/5/93,D,MURFET D.E. Denzel | TAPLIN R.L. Rosemary,present but not counted,,1-10km,54,406693,6000404,-36.13659,139.96295,Y,U01290,Hemichroa pentandra,AMARANTHACEAE,Trailing Hemichroa,,,,Bunbury (CR),Y
SUP7882-15,SUP7882-15,SU,FLINDERS MANAGEMENT REVIEW,29/8/90,D,MALCOLM L.A. Louise | PLAYFAIR R.M. Roger,present but not counted,,No entered,54,328422,6582679,-30.87674,139.20518,Y,G01439,Lepidium oxytrichum,CRUCIFERAE,Green Peppercress,,,2km SW from Wearing Well.,,Y
OPP722161-2,OPP722161-2,OP,KANGAROO ISLAND FLORA - KI,19/10/15,D,HABY M. Michelle,present but not counted,,0-5m,53,670203,6039482,-35.774,136.883,Y,W32447,Spyridium vexilliferum,RHAMNACEAE,Winged Spyridium,,,Section 41 Hundred Gosse,,Y
RVPU94303-160256,RVPU94303-160256,RV,,2/5/12,D,DICKSON C.R. Cath | CARR C. Chris,present but not counted,,251-500m,54,444639,5876959,-37.25226986,140.3757345,P,A01584,Acacia melanoxylon,LEGUMINOSAE,Blackwood,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus baxteri / E. camaldulensis var. camaldulensis Woodland,Khayyam RD 5.1 km SSE of Fox,,Y
SUP6947-8,SUP6947-8,SU,MT LOFTY,28/4/86,D,KING F. Fleur,present but not counted,,,54,300152,6155808,-34.72028,138.81751,Y,C01349,Hibbertia sericea var. sericea (NC),DILLENIACEAE,Silky Guinea-flower,,,,,Y
OPP547253-94,OPP547253-94,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,23/7/14,D,BARRON P. Phil,present but not counted,,501-1000m,54,274076,6104889,-35.17358,138.51918,Y,M05830,Melaleuca lanceolata,MYRTACEAE,Dryland Tea-tree,,,Onkaparinga River NP (Long Gully S15),Onkaparinga River (NP),Y
OPP561676-103,OPP561676-103,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,24/2/15,D,LASHMAR K. Kym,present but not counted,,1-10km,53,658726,6028296,-35.87673,136.75831,Y,U04890,Microlaena stipoides var. stipoides,GRAMINEAE,Weeping Rice-grass,,Vegetation condition is generally excellent throughout with good uniform regeneration following the extensive fires of 2007 that burnt almost all of the site.,South-western area bounded by Shackle Road to the west and the East Melrose Track to the south.,Ravine des Casoars (WA),Y
RVPO71746-316577,RVPO71746-316577,RV,,2/10/03,D,BIRCHMORE N.J. Neal,present but not counted,,251-500m,54,268270,6184269,-34.45713166,138.4773798,P,M20166,Salvia verbenaca var.,LABIATAE,Wild Sage,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus socialis +/- Mixed Eucalyptus spp. Mallee,Old Dublin RD 3.6 km WSW of Mallala,,N
SUP15352-65,SUP15352-65,SU,TILLEY SWAMP,8/12/96,D,CROFT T.S. Tim,present but not counted,,51-100m,54,397832,5970481,-36.40541,139.86057,Y,C04613,Tricoryne tenella,LILIACEAE,Tufted Yellow Rush-lily,,,3.5km NNW from Mia Mia Plains Homestead.,,Y
OPP958068-12,OPP958068-12,OP,F4F ECOLOGICAL MONITORING PROGRAM,6/11/17,D,NICOL J. Jason,1,,5-50m,54,301072,6107686,-35.15408,138.81609,Y,Z00075,Typha domingensis,TYPHACEAE,Narrow-leaf Bulrush,,,Quarry rd,,Y
OPP651791-13,OPP651791-13,OP,CLLMM BIRD AND VEGETATION ASSESSMENT,20/10/15,D,MILNE T.I. Tim,present but not counted,,251-500m,54,349910,6065035,-35.54698,139.34418,Y,S01821,Trifolium arvense var. arvense,LEGUMINOSAE,Hare's-foot Clover,Spp RecordID:14828|,Nil habitat comments recorded.,|Source ProjectID:3|Source WaypointID:679|Access Notes:Split from 61|TreatID:Revegetated|Planted Year:2015|,,N
SUP3544-23,SUP3544-23,SU,MURRAY MALLEE,27/7/90,D,ROBINSON A.C. Tony | KINNEAR A.J. (Sandy),present but not counted,,5-50m,54,353215,6044163,-35.73559,139.37683,Y,Z20183,Spyridium subochreatum var. (NC),RHAMNACEAE,Velvet Spyridium,,,6 km SE from Meningie.,,Y
OPP984495-35,OPP984495-35,OP,SA WATER LAND MANAGEMENT PLANS,9/10/19,D,MILNE T.I. Tim | TELFER S. Sarah,Present but not counted,,5-50m,54,302896,6160177,-34.68144,138.84848,Y,K03913,Avena barbata,GRAMINEAE,Bearded Oat,Eucalyptus camaldulensis Woodland,,B2-3,,N
OPP558457-2,OPP558457-2,OP,LOWAN MALLEE LAF FIELDWORK,23/9/14,D,MCCALLUM M. Melissa | SANDERS P.F. Paula,present but not counted,,251-500m,54,495697,6145193,-34.83555,140.95294,Y,Q02276,Leptospermum coriaceum,MYRTACEAE,Dune Tea-tree,,,|Source ProjectID:20|Source WaypointID:3446|,,Y
OPP332538-1785206,OPP332538-1785206,OP,YUDNAPINNA AND LAKES,27/3/07,D,JAY J. Justin | LANG P.J. Peter,present but not counted,,5-50m,53,729730,6503764,-31.57829,137.42081,Y,M20078,Eucalyptus camaldulensis ssp.,MYRTACEAE,River Red Gum,,,Crest of sandy lunette on SSE side of Tobys Swamp.,,Y
OPP798704-140,OPP798704-140,OP,BDBSA RESERVES DATABASE,1/1/90,T,TAPLIN R.L. Rosemary,present but not counted,,1-10km,54,289872,6115029,-35.08564,138.69508,Y,W00847,Pterostylis pedunculata,ORCHIDACEAE,Maroon-hood,,,,Scott Creek (CP),Y
SUP9803-20,SUP9803-20,SU,FLINDERS MANAGEMENT REVIEW,3/6/88,D,BELLETTE K.J. Kathryn | GOULD P. Paul,present but not counted,,,54,325523,6626679,-30.47947,139.18231,Y,W00407,Panicum decompositum var. decompositum,GRAMINEAE,Native Millet,,,,Vulkathunha-Gammon Ranges (NP),Y
OPP377365-109,OPP377365-109,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,29/4/09,D,PICKETT M.I. Marcus,present but not counted,,501-1000m,54,290359,6137612,-34.88227,138.7061,Y,Y04992,Chamaescilla corymbosa var. corymbosa,LILIACEAE,Blue Squill,,,Black Hill Buffer Zone A09 Prescribed Burn; Incident Number 200904114,Black Hill (CP),Y
SUP10204-28,SUP10204-28,SU,FLINDERS MANAGEMENT REVIEW,12/9/87,D,GREENWOOD G. Graeme | PITTS B. Brenda,present but not counted,,,54,304022,6540479,-31.25348,138.94189,Y,E00874,Casuarina pauper,CASUARINACEAE,Black Oak,,,,,Y
SUP6639-18,SUP6639-18,SU,MT LOFTY,24/4/86,D,VANAMOIS P. Peter,present but not counted,,,54,278422,6086528,-35.33996,138.56191,Y,K02433,Leucopogon rufus,EPACRIDACEAE,Ruddy Beard-heath,,,,,Y
RVPE11754-2,RVPE11754-2,RV,,19/11/98,D,CLARK P.D. Peter | BEVAN K. Kirsty,present but not counted,,101-250m,53,610221,6274430,-33.66430794,136.1888533,P,U00950,Santalum acuminatum,SANTALACEAE,Quandong,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic Grassland,Lock - Cowell RD 8.1 km WNW of Rudall,,Y
OPP494151-1,OPP494151-1,OP,SAMDB NRMB PEST OPS,11/5/11,D,BROCK S. Steve,present but not counted,,5-50m,54,374585,6160637,-34.68859,139.63083,Y,M02662,Lycium ferocissimum,SOLANACEAE,African Boxthorn,DENSITY = 1 - 10 percent.SITE STATUS = Active.Source = Ranges to River.,,,,N
SUP12153-79,SUP12153-79,SU,STONY DESERTS,18/11/94,D,ROBERTSON M.A. Meg | HOLMES A. Alice,present but not counted,,5-50m,54,353596,6740334,-29.45789,139.49027,Y,U32322,Atriplex vesicaria,CHENOPODIACEAE,Bladder Saltbush,ID ?vesicaria,,5 km E from Meteor Bore.,,Y
RVPO83412-376801,RVPO83412-376801,RV,,31/8/06,D,POUND L.M. Leanne | OBST C.S. Chris,present but not counted,,1-10km,54,454347,6082115,-35.40329884,140.4972218,P,Z00219,Hordeum leporinum,GRAMINEAE,Wall Barley-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic Grassland,Schroeter RD 8.4 km SSW of Lameroo,,N
SUP9923-1,SUP9923-1,SU,FLINDERS MANAGEMENT REVIEW,22/9/86,D,BARBER D.R. Dennis | TYNAN R.W. Roger,present but not counted,,No entered,54,293622,6489879,-31.7079,138.82219,Y,A01004,Codonocarpus pyramidalis,GYROSTEMONACEAE,Slender Bell-fruit,,,,,Y
OPP798436-4,OPP798436-4,OP,BDBSA RESERVES DATABASE,29/3/88,D,CROFT T.S. Tim,present but not counted,,1-10km,54,471673,5941166,-36.6747,140.68298,Y,K05337,Darwinia micropetala,MYRTACEAE,Small Darwinia,,**Birds** Suitable for Blue-winged Parrot Chestnut-rumped Hylacola Eastern Yellow-Robin Painted Button-Quail Red-tailed Black Cockatoo (Observed by landholder) and Yellow-tailed Black CockatooE fasciculosa woodland considered vulnerable in South East,HYNAM : 345 349 450 449,316 (HA),Y
OPP377361-97,OPP377361-97,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,7/2/09,D,PICKETT M.I. Marcus,present but not counted,,251-500m,54,289909,6125595,-34.99045,138.69816,Y,Z02591,Prunella vulgaris,LABIATAE,Self-heal,,,Cleland S09a Prescribed Burn; Incident Number 200911002,Cleland (CP),N
OPP958047-4,OPP958047-4,OP,F4F ECOLOGICAL MONITORING PROGRAM,13/11/18,D,NICOL J. Jason,1,,5-50m,54,307853,6110279,-35.13204,138.89109,Y,W00491,Cyperus gymnocaulos,CYPERACEAE,Spiny Flat-sedge,,,Upper Rodwell Creek,,Y
OPP492365-1,OPP492365-1,OP,SAMDB NRMB PEST OPS,22/7/11,D,BROCK S. Steve,present but not counted,,5-50m,54,350337,6128074,-34.97886,139.36039,Y,M02662,Lycium ferocissimum,SOLANACEAE,African Boxthorn,DENSITY = 1 - 10 percent.SITE STATUS = Active.Source = Ranges to River.western side of road,,,,N
SUP8524-7,SUP8524-7,SU,SOUTH OLARY PLAINS,12/8/91,D,SMITH N.M. Nick | LANG P.J. Peter,present but not counted,,5-50m,54,415922,6331578,-33.1513,140.09843,Y,C03185,Rhodanthe pygmaea,COMPOSITAE,Pigmy Daisy,,,1.8 km NE from Seven Mile Dam.,,Y
RVPO13276-52287,RVPO13276-52287,RV,,30/11/98,D,PLAYFAIR R.M. Roger | PARRY K. Karen,present but not counted,,251-500m,54,253765,6372467,-32.75814429,138.3716331,P,M00666,Asphodelus fistulosus,LILIACEAE,Onion Weed,Collected using the DEWNR Roadside Vegetation Survey Methodology,Grassland / Herbland dominated by alien species,Windy Plains RD 3.4 km SSE of Billy Foulis Hill (summit),,N
RVPU40793-47884,RVPU40793-47884,RV,,10/3/01,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,101-250m,53,540331,6345816,-33.02538201,135.4318614,P,E10950,Austrostipa sp.,GRAMINEAE,Spear-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus oleosa Mallee,Eyre Highway HWY 2.2 km ESE of Pygery,,Y
